day,segment_key,share,dollars,clicks,conv
2017-08-17,103916|30-34|M|15,0.1145120418930796,22.9,16,9
2017-08-17,103917|30-34|M|16,0.05957388358415539,11.91,13,0
2017-08-17,103920|30-34|M|20,0.003566969597132606,0.71,0,0
2017-08-17,103928|30-34|M|28,0.11943358730108393,23.89,18,7
2017-08-17,103929|30-34|M|29,0.0861493508348862,17.23,11,4
2017-08-17,103940|30-34|M|15,0.06633878293872271,13.27,8,0
2017-08-17,103941|30-34|M|16,0.14714820944602452,29.43,23,14
2017-08-17,103951|30-34|M|27,0.012188985688575796,2.44,1,1
2017-08-17,104012|35-39|M|15,0.07639047970198032,15.28,11,5
2017-08-17,104133|45-49|M|16,0.01031693259202992,2.06,1,0
2017-08-17,104140|45-49|M|24,0.08389808233855318,16.78,11,3
2017-08-17,104185|45-49|M|21,0.054752817961977396,10.95,7,4
2017-08-17,104205|30-34|F|16,0.022033881938632278,4.41,3,0
2017-08-17,104230|30-34|F|18,0.14369599418316623,28.74,19,6
2017-08-18,103916|30-34|M|15,0.10622629559991109,21.25,14,6
2017-08-18,103917|30-34|M|16,0.00806192394523489,1.61,1,0
2017-08-18,103920|30-34|M|20,0.04530711320966232,9.06,6,3
2017-08-18,103928|30-34|M|28,0.12414325126252436,24.83,19,12
2017-08-18,103929|30-34|M|29,0.049901097037211996,9.98,6,2
2017-08-18,103940|30-34|M|15,0.010922260951416263,2.18,1,0
2017-08-18,103941|30-34|M|16,0.1342851733567362,26.86,21,11
2017-08-18,103951|30-34|M|27,0.08888876869222774,17.78,11,3
2017-08-18,104012|35-39|M|15,0.07576919060137076,15.15,11,4
2017-08-18,104133|45-49|M|16,0.030874718425209707,6.17,4,0
2017-08-18,104140|45-49|M|24,0.01540398343473755,3.08,2,1
2017-08-18,104185|45-49|M|21,0.18722677908710533,37.45,24,10
2017-08-18,104205|30-34|F|16,0.037659097175346185,7.53,5,0
2017-08-18,104230|30-34|F|18,0.08533034722130563,17.07,11,4
2017-08-19,103916|30-34|M|15,0.12616150077485597,25.23,17,10
2017-08-19,103917|30-34|M|16,0.0037768737740113425,0.76,0,0
2017-08-19,103920|30-34|M|20,0.07484186129967439,14.97,10,7
2017-08-19,103928|30-34|M|28,0.13101256627117455,26.2,20,11
2017-08-19,103929|30-34|M|29,0.09088261172265373,18.18,12,8
2017-08-19,103940|30-34|M|15,0.011040743891985333,2.21,1,0
2017-08-19,103941|30-34|M|16,0.11649260035035482,23.3,18,7
2017-08-19,103951|30-34|M|27,0.06838914954102478,13.68,9,4
2017-08-19,104012|35-39|M|15,0.1002596126294742,20.05,15,8
2017-08-19,104133|45-49|M|16,0.0056008113171325796,1.12,0,0
2017-08-19,104140|45-49|M|24,0.05031916837966136,10.06,6,1
2017-08-19,104185|45-49|M|21,0.10449109286074433,20.9,13,8
2017-08-19,104205|30-34|F|16,0.029369844395947284,5.87,4,1
2017-08-19,104230|30-34|F|18,0.08736156279130552,17.47,11,3
2017-08-20,103916|30-34|M|15,0.10340286298312903,20.68,14,7
2017-08-20,103917|30-34|M|16,0.03661840246101709,7.32,8,0
2017-08-20,103920|30-34|M|20,0.12780599959422215,25.56,17,9
2017-08-20,103928|30-34|M|28,0.0970324649921417,19.41,15,6
2017-08-20,103929|30-34|M|29,0.12807883990464453,25.62,17,10
2017-08-20,103940|30-34|M|15,0.03158631881811782,6.32,3,0
2017-08-20,103941|30-34|M|16,0.10544431409769109,21.09,16,7
2017-08-20,103951|30-34|M|27,0.0667011241238313,13.34,8,0
2017-08-20,104012|35-39|M|15,0.0851094462556628,17.02,13,3
2017-08-20,104133|45-49|M|16,0.003877988118533422,0.78,0,0
2017-08-20,104140|45-49|M|24,0.04024615689668798,8.05,5,1
2017-08-20,104185|45-49|M|21,0.108296157089932,21.66,14,7
2017-08-20,104205|30-34|F|16,0.01236410267549827,2.47,1,0
2017-08-20,104230|30-34|F|18,0.053435821988890825,10.69,7,2
2017-08-21,103916|30-34|M|15,0.12480720807943184,24.96,17,3
2017-08-21,103917|30-34|M|16,0.006628854831520495,1.33,1,0
2017-08-21,103920|30-34|M|20,0.1206780621127597,24.14,16,8
2017-08-21,103928|30-34|M|28,0.09081658264238508,18.16,14,7
2017-08-21,103929|30-34|M|29,0.10899088132586501,21.8,14,9
2017-08-21,103940|30-34|M|15,0.02850377604022689,5.7,3,0
2017-08-21,103941|30-34|M|16,0.12949293743721493,25.9,20,9
2017-08-21,103951|30-34|M|27,0.04361737351947729,8.72,5,2
2017-08-21,104012|35-39|M|15,0.05508029705443262,11.02,8,3
2017-08-21,104133|45-49|M|16,0.003938731993670451,0.79,0,0
2017-08-21,104140|45-49|M|24,0.057740453887295616,11.55,7,3
2017-08-21,104185|45-49|M|21,0.1021719177502673,20.43,13,7
2017-08-21,104205|30-34|F|16,0.036550027231440206,7.31,5,0
2017-08-21,104230|30-34|F|18,0.09098289609401258,18.2,12,4
2017-08-22,103916|30-34|M|15,0.10073501812019799,20.15,14,3
2017-08-22,103917|30-34|M|16,0.005613867678964785,1.12,1,0
2017-08-22,103920|30-34|M|20,0.11221752686110792,22.44,15,8
2017-08-22,103928|30-34|M|28,0.10739870307351533,21.48,16,11
2017-08-22,103929|30-34|M|29,0.11051594299418349,22.1,14,7
2017-08-22,103940|30-34|M|15,0.01633340647171327,3.27,2,0
2017-08-22,103941|30-34|M|16,0.07312185791092611,14.62,11,6
2017-08-22,103951|30-34|M|27,0.09061959086571872,18.12,12,3
2017-08-22,104012|35-39|M|15,0.0931090921407424,18.62,14,6
2017-08-22,104133|45-49|M|16,0.04624543001568336,9.25,7,0
2017-08-22,104140|45-49|M|24,0.03745614900254798,7.49,5,1
2017-08-22,104185|45-49|M|21,0.11503850543989706,23.01,15,8
2017-08-22,104205|30-34|F|16,0.017398629334176737,3.48,2,0
2017-08-22,104230|30-34|F|18,0.07419628009062497,14.84,10,3
2017-08-23,103916|30-34|M|15,0.09935246774446167,19.87,13,6
2017-08-23,103917|30-34|M|16,0.003547964077997731,0.71,0,0
2017-08-23,103920|30-34|M|20,0.11042634150841393,22.09,14,2
2017-08-23,103928|30-34|M|28,0.1317938586589137,26.36,20,12
2017-08-23,103929|30-34|M|29,0.1345452747402668,26.91,18,6
2017-08-23,103940|30-34|M|15,0.0035479640779977313,0.71,0,0
2017-08-23,103941|30-34|M|16,0.08515089973607431,17.03,13,6
2017-08-23,103951|30-34|M|27,0.06799534191149084,13.6,9,2
2017-08-23,104012|35-39|M|15,0.07780792098466285,15.56,11,6
2017-08-23,104133|45-49|M|16,0.003547964077997728,0.71,0,0
2017-08-23,104140|45-49|M|24,0.07014240446540823,14.03,9,5
2017-08-23,104185|45-49|M|21,0.12693037050519143,25.39,16,7
2017-08-23,104205|30-34|F|16,0.02982770746781541,5.97,4,1
2017-08-23,104230|30-34|F|18,0.055383520043307655,11.08,7,2
